id_da_delegacia_rdo,numero_do_bo_rdo,tipo_de_via,municipio,regiao_administrativa,tipo_de_acidente,turno,tipo_do_veiculo_da_vitima,tipo_de_vitima,sexo,idade_da_vitima,ano_mes_acidente3,numero_de_acidentes
90502,535,Rodovias,ADAMANTINA,Presidente Prudente,NAO DISPONIVEL,TARDE,NAO DISPONIVEL,NAO DISPONIVEL,MASCULINO,44,201506,1
90502,607,Rodovias,ADAMANTINA,Presidente Prudente,ATROPELAMENTO,NOITE,PEDESTRE,PEDESTRE,FEMININO,69,201507,1
90122,1,Vias Municipais,ADAMANTINA,Presidente Prudente,NAO DISPONIVEL,MANHA,NAO DISPONIVEL,NAO DISPONIVEL,FEMININO,38,201507,1
90502,651,Vias Municipais,ADAMANTINA,Presidente Prudente,COLISAO,NOITE,AUTOMOVEL,CONDUTOR,FEMININO,31,201508,1
90121,147,Rodovias,ADAMANTINA,Presidente Prudente,ATROPELAMENTO,TARDE,PEDESTRE,PEDESTRE,MASCULINO,38,201604,1
90121,271,Vias Municipais,ADAMANTINA,Presidente Prudente,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,19,201607,1
90502,339,Vias Municipais,ADAMANTINA,Presidente Prudente,COLISAO,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,39,201707,1
90502,531,Rodovias,ADAMANTINA,Presidente Prudente,ATROPELAMENTO,NOITE,PEDESTRE,PEDESTRE,FEMININO,59,201710,1
90121,54,Rodovias,ADAMANTINA,Presidente Prudente,CHOQUE,MADRUGADA,AUTOMOVEL,CONDUTOR,MASCULINO,69,201802,1
90121,217,Rodovias,ADAMANTINA,Presidente Prudente,COLISAO,TARDE,AUTOMOVEL,CONDUTOR,MASCULINO,42,201809,1
90502,184,Vias Municipais,ADAMANTINA,Presidente Prudente,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,42,202004,1
110401,15,Rodovias,ADOLFO,São José do Rio Preto,ATROPELAMENTO,MADRUGADA,PEDESTRE,PEDESTRE,MASCULINO,29,201601,1
110429,8626,Vias Municipais,ADOLFO,São José do Rio Preto,COLISAO,MADRUGADA,AUTOMOVEL,NAO DISPONIVEL,MASCULINO,39,201607,1
130323,195,Rodovias,ADOLFO,São José do Rio Preto,CHOQUE,MANHA,NAO DISPONIVEL,PASSAGEIRO,MASCULINO,49,201701,1
70701,31,Rodovias,AGUAI,Campinas,OUTROS,NAO DISPONIVEL,CAMINHAO,CONDUTOR,MASCULINO,23,201501,1
70701,419,Rodovias,AGUAI,Campinas,OUTROS,MANHA,AUTOMOVEL,PASSAGEIRO,FEMININO,38,201502,1
70701,782,Rodovias,AGUAI,Campinas,ATROPELAMENTO,NOITE,PEDESTRE,PEDESTRE,FEMININO,70,201504,1
70701,1261,Rodovias,AGUAI,Campinas,ATROPELAMENTO,MADRUGADA,PEDESTRE,PEDESTRE,MASCULINO,NAO DISPONIVEL,201506,1
70701,1841,Rodovias,AGUAI,Campinas,COLISAO,NOITE,AUTOMOVEL,CONDUTOR,MASCULINO,65,201508,1
70701,2381,Vias Municipais,AGUAI,Campinas,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,FEMININO,26,201510,1
70701,2875,Vias Municipais,AGUAI,Campinas,ATROPELAMENTO,NOITE,PEDESTRE,PEDESTRE,FEMININO,48,201512,1
70701,258,Rodovias,AGUAI,Campinas,COLISAO,MADRUGADA,MOTOCICLETA,PASSAGEIRO,FEMININO,34,201601,1
70701,329,Rodovias,AGUAI,Campinas,OUTROS,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,60,201602,1
70701,1150,Rodovias,AGUAI,Campinas,COLISAO,MANHA,AUTOMOVEL,CONDUTOR,MASCULINO,32,201605,1
70701,1921,Rodovias,AGUAI,Campinas,COLISAO,NOITE,AUTOMOVEL,CONDUTOR,MASCULINO,56,201608,1
70701,3096,Rodovias,AGUAI,Campinas,ATROPELAMENTO,MADRUGADA,PEDESTRE,PEDESTRE,MASCULINO,28,201612,1
70700,6686,Vias Municipais,AGUAI,Campinas,ATROPELAMENTO,NOITE,PEDESTRE,PEDESTRE,FEMININO,79,201612,1
70701,2972,Rodovias,AGUAI,Campinas,CHOQUE,MADRUGADA,AUTOMOVEL,CONDUTOR,MASCULINO,56,201612,1
70701,300,Vias Municipais,AGUAI,Campinas,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,FEMININO,25,201702,1
70701,1273,Vias Municipais,AGUAI,Campinas,COLISAO,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,46,201706,1
70701,1583,Rodovias,AGUAI,Campinas,COLISAO,NOITE,AUTOMOVEL,CONDUTOR,MASCULINO,46,201707,1
70701,672,Rodovias,AGUAI,Campinas,COLISAO,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,25,201804,1
70701,964,Vias Municipais,AGUAI,Campinas,CHOQUE,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,32,201805,1
70701,1400,Vias Municipais,AGUAI,Campinas,COLISAO,MANHA,MOTOCICLETA,CONDUTOR,FEMININO,24,201808,1
70700,5001,Rodovias,AGUAI,Campinas,COLISAO,MANHA,BICICLETA,CONDUTOR,MASCULINO,21,201810,1
70700,5145,Rodovias,AGUAI,Campinas,COLISAO,NOITE,CAMINHAO,NAO DISPONIVEL,MASCULINO,22,201811,1
70700,5145,Rodovias,AGUAI,Campinas,COLISAO,NOITE,CAMINHAO,NAO DISPONIVEL,MASCULINO,49,201811,1
70700,5145,Rodovias,AGUAI,Campinas,COLISAO,NOITE,CAMINHAO,NAO DISPONIVEL,MASCULINO,NAO DISPONIVEL,201811,2
70701,77,Rodovias,AGUAI,Campinas,OUTROS,MADRUGADA,ONIBUS,PASSAGEIRO,FEMININO,30,201901,1
70701,758,Rodovias,AGUAI,Campinas,CHOQUE,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,26,201905,1
70700,2065,Rodovias,AGUAI,Campinas,COLISAO,NOITE,AUTOMOVEL,CONDUTOR,MASCULINO,79,201905,1
70700,3365,Vias Municipais,AGUAI,Campinas,CHOQUE,TARDE,BICICLETA,CONDUTOR,MASCULINO,81,201907,1
70700,3468,Rodovias,AGUAI,Campinas,COLISAO,NOITE,AUTOMOVEL,CONDUTOR,MASCULINO,22,201907,1
70700,4467,Rodovias,AGUAI,Campinas,COLISAO,MANHA,AUTOMOVEL,CONDUTOR,MASCULINO,40,201909,1
70700,4462,Rodovias,AGUAI,Campinas,OUTROS,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,29,201909,1
70700,6169,Rodovias,AGUAI,Campinas,CHOQUE,MADRUGADA,AUTOMOVEL,CONDUTOR,MASCULINO,28,201912,1
70701,213,Rodovias,AGUAI,Campinas,COLISAO,TARDE,AUTOMOVEL,CONDUTOR,FEMININO,38,202002,1
70702,243,Rodovias,AGUAS DA PRATA,Campinas,OUTROS,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,29,201507,1
70702,454,Rodovias,AGUAS DA PRATA,Campinas,OUTROS,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,20,201611,1
70014,398,Vias Municipais,AGUAS DA PRATA,Campinas,COLISAO,TARDE,AUTOMOVEL,CONDUTOR,MASCULINO,62,201701,1
70700,1768,Rodovias,AGUAS DA PRATA,Campinas,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,24,201804,1
70700,1768,Rodovias,AGUAS DA PRATA,Campinas,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,31,201804,1
70702,177,Rodovias,AGUAS DA PRATA,Campinas,CHOQUE,MANHA,CAMINHAO,CONDUTOR,MASCULINO,37,201808,1
70700,2869,Rodovias,AGUAS DA PRATA,Campinas,COLISAO,TARDE,AUTOMOVEL,CONDUTOR,MASCULINO,36,201906,1
70700,2869,Rodovias,AGUAS DA PRATA,Campinas,COLISAO,TARDE,AUTOMOVEL,PASSAGEIRO,MASCULINO,47,201906,1
70700,2869,Rodovias,AGUAS DA PRATA,Campinas,COLISAO,TARDE,AUTOMOVEL,PASSAGEIRO,MASCULINO,6,201906,2
70700,775,Rodovias,AGUAS DA PRATA,Campinas,NAO DISPONIVEL,NOITE,PEDESTRE,PEDESTRE,MASCULINO,74,202002,1
70101,386,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,23,201504,1
70101,386,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,NOITE,MOTOCICLETA,PASSAGEIRO,MASCULINO,42,201504,1
70101,44,Vias Municipais,AGUAS DE LINDOIA,Campinas,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,29,201601,1
70101,755,Vias Municipais,AGUAS DE LINDOIA,Campinas,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,24,201610,1
70101,68,Vias Municipais,AGUAS DE LINDOIA,Campinas,COLISAO,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,35,201701,1
70101,49,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,NAO DISPONIVEL,AUTOMOVEL,CONDUTOR,MASCULINO,21,201701,1
70101,580,Vias Municipais,AGUAS DE LINDOIA,Campinas,CHOQUE,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,15,201707,1
70101,579,Vias Municipais,AGUAS DE LINDOIA,Campinas,COLISAO,TARDE,MOTOCICLETA,CONDUTOR,MASCULINO,46,201707,1
70112,1255,Vias Municipais,AGUAS DE LINDOIA,Campinas,ATROPELAMENTO,TARDE,PEDESTRE,PEDESTRE,MASCULINO,3,201709,1
70101,1,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,56,201801,1
70101,96,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,MADRUGADA,AUTOMOVEL,CONDUTOR,MASCULINO,32,201802,1
70112,1380,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,MADRUGADA,MOTOCICLETA,CONDUTOR,MASCULINO,22,201808,1
70112,1380,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,MADRUGADA,MOTOCICLETA,CONDUTOR,MASCULINO,53,201808,1
70112,2071,Vias Municipais,AGUAS DE LINDOIA,Campinas,ATROPELAMENTO,TARDE,PEDESTRE,PEDESTRE,MASCULINO,90,201812,1
70101,191,Vias Municipais,AGUAS DE LINDOIA,Campinas,COLISAO,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,23,201904,1
70101,355,Rodovias,AGUAS DE LINDOIA,Campinas,COLISAO,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,37,201906,1
70112,1539,Vias Municipais,AGUAS DE LINDOIA,Campinas,OUTROS,MANHA,MOTOCICLETA,CONDUTOR,MASCULINO,19,201910,1
70934,2509,Vias Municipais,AGUAS DE LINDOIA,Campinas,CHOQUE,TARDE,AUTOMOVEL,CONDUTOR,FEMININO,59,202003,1
70010,3410,Rodovias,AGUAS DE LINDOIA,Campinas,OUTROS,NOITE,AUTOMOVEL,CONDUTOR,MASCULINO,49,202003,1
120107,190,Rodovias,AGUAS DE SANTA BARBARA,Sorocaba,COLISAO,NOITE,AUTOMOVEL,NAO DISPONIVEL,MASCULINO,39,201507,1
120107,188,Rodovias,AGUAS DE SANTA BARBARA,Sorocaba,COLISAO,NOITE,BICICLETA,CONDUTOR,MASCULINO,52,201507,1
120107,178,Rodovias,AGUAS DE SANTA BARBARA,Sorocaba,COLISAO,NOITE,MOTOCICLETA,CONDUTOR,MASCULINO,31,201507,1
120107,244,Rodovias,AGUAS DE SANTA BARBARA,Sorocaba,OUTROS,MANHA,CAMINHAO,CONDUTOR,MASCULINO,38,201510,1
120107,285,Vias Municipais,AGUAS DE SANTA BARBARA,Sorocaba,CHOQUE,MANHA,AUTOMOVEL,PASSAGEIRO,FEMININO,73,201512,1
120107,32,Vias Municipais,AGUAS DE SANTA BARBARA,Sorocaba,ATROPELAMENTO,MADRUGADA,PEDESTRE,PEDESTRE,MASCULINO,25,201602,1
120107,110,Vias Municipais,AGUAS DE SANTA BARBARA,Sorocaba,COLISAO,TARDE,AUTOMOVEL,CONDUTOR,MASCULINO,55,201704,1
120107,270,Rodovias,AGUAS DE SANTA BARBARA,Sorocaba,CHOQUE,TARDE,AUTOMOVEL,CONDUTOR,MASCULINO,26,201707,1
80504,8365,Rodovias,AGUAS DE SANTA BARBARA,Sorocaba,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,MASCULINO,26,201707,1
120107,25,Rodovias,AGUAS DE SANTA BARBARA,Sorocaba,ATROPELAMENTO,NOITE,PEDESTRE,PEDESTRE,MASCULINO,66,201802,1
